stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
0100RBJ,Ruaka/Banana Junction/Tuskys Supermarket,-1.20722,36.78602, ,
0100RCN,Ruaka Catholic Church Entrance,-1.20614,36.78059, ,
0100RES,Runda Estate Entrance,-1.21873,36.80177, ,
0100RJI,Ruiru Road Junction,-1.152181,36.919882, ,
0100RKH,Runda/Karura Carwash,-1.22091,36.80144, ,
0100RRD,Ruaka Redeemed Gospel Church,-1.20651,36.78206, ,
0100RRJ,Redhill Road Junction,-1.23398,36.80339, ,
0100RRP,Rosslyn Road/Karura Community Chapel/Two Rivers,-1.21641,36.79927, ,
0100RUD,Runda Road,-1.215553,36.814957, ,
0100RYA,Rumenye,-1.199644804,36.75815105, ,
0100SHT,Sacred Heart,-1.186278,36.767456, ,
0100SLG,Slaughter/Bypass,-1.20578,36.78005, ,
0100SNW,Good News/Nyari Gate 2,-1.225479841,36.79151773,,
0100T1I,Barrier 1/Nyari Gate 1,-1.226568818,36.79569393,,
0100TCP,Total/City Park,-1.25943,36.82673, ,
0100TIG,Tigoni,-1.126686,36.671788, ,
0100TTM,Total/Muchatha,-1.193078,36.777371, ,
0100VDA,Victory Gospel/Sda,-1.19432,36.7429, ,
0100VEV,Velvet Lounge/Kigwaru,-1.202782,36.785553, ,
0100VIN,Victory Inn,-1.181773,36.762476, ,
0100WSI,Nyari West,-1.225469112,36.78594947,,
0101AGA,Aga Khan Academy,-1.26628,36.82331, ,
0101AKE,Aga Khan Hospital Entrance,-1.26178,36.82224, ,
0101AKH,Aga Khan Hospital Junction/3rd Parklands Ave,-1.26288,36.8249, ,
0101ALM,Amani Plaza/Almond Court,-1.25962,36.81717, ,
0101AME,Ambassadors Entrance,-1.19804,36.75538, ,
0101ARY,Arya Girls' Secondary School,-1.26085,36.82007, ,
0101BKH,Bypass Stage Kiambu,-1.215448,36.83521, ,
0101BLU,Blue Kiosk Stage,-1.154688,36.675681, ,
0101CAV,Church Of Acts/Velvet Lounge,-1.203525,36.785397, ,
0101CHC,Christco Church,-1.19628,36.75294, ,
0101CHF,Sub Chief,-1.219799,36.778197, ,
0101CPK,City Park,-1.26057,36.82615, ,
0101DGG,Ridgesways Girls,-1.215046,36.864683, ,
0101DPB,Delta Petrol Station/ Boarder,-1.20918,36.7882, ,
0101ETA,Marrieta,-1.143779,36.661749, ,
0101FRK,Furaha/Kag Ndenderu/Catholic,-1.1954,36.75175, ,
0101GOG,Guango,-1.195673,36.780783, ,
0101GRJ,Gacharage Junction,-1.20041,36.76058, ,
0101GVS,Green Valley School,-1.125007,36.677194, ,
0101IAI,Gwaiti,-1.18060112,36.7263186,,
0101IGA,Kahigo,-1.203356981,36.77130997,,
0101ION,Junction To Limuru Town,-1.133245,36.643564, ,
0101JAK,Jakai,-1.219745,36.772222, ,
0101JHS,Jamuhuri High School,-1.27335,36.82297, ,
0101JLI,Jua Kali,-1.211161,36.874486, ,
0101KAT,Kwa Njoki/Ack Thimbigwa,-1.183893,36.763636, ,
0101KCK,Kenchic,-1.132763,36.697946, ,
0101KHR,Kahawa Railways Roundabout,-1.185664,36.906667, ,
0101KKB,Kamukabi,-1.222324,36.780623, ,
0101KME,Kimera Medical Centre,-1.146608,36.716753, ,
0101KOB,Kobil/Banana,-1.17466,36.759053, ,
0101KTO,Kwa Moturi/Gachiraini,-1.20202,36.7662, ,
0101LIK,Likoni,-1.178733,36.760654, ,
0101LMC,Limuru Cataring,-1.124567,36.679518, ,
0101LSC,Life Sanctuary Church/Muchatha Shopping Centre,-1.19145,36.775071, ,
0101MCC,Muchatha Shopping Centre,-1.192055,36.775879, ,
0101MCY,Mothers Mercys,-1.180059,36.725487, ,
0101MDS,Muchatha Dispensary/Kwa Shule/Yamongo Drive,-1.189723,36.773257, ,
0101MIC,Mary Immaculate Catholic Church/Muchatha Shopping Centre,-1.190698,36.774211, ,
0101MIM,Mimosa,-1.212005,36.804767, ,
0101MKB,Mkulima Supermarket/Banana,-1.175287,36.759291, ,
0101MOM,Mombasa,-1.177906,36.760269, ,
0101MRB,Maramba Tea Factory,-1.134492,36.703458, ,
0101MTH,Muthaiga Junction,-1.228633,36.798518, ,
0101MUC,Redeemed/Pefa Muchatha,-1.197213,36.782874, ,
0101NDJ,Ndenderu Junction/Makutano,-1.192266,36.743758, ,
0101NGG,Nyari Gate 3,-1.225371,36.785596, ,
0101NGR,Ngara Road,-1.27585,36.82299, ,
0101NJK,Kwa Njoki Kamili,-1.184899,36.764492, ,
0101NRE,Nish Raaj Estate,-1.25862,36.81484, ,
0101NRP,Round A Bout Eastern Bypass,-1.155165,36.926129, ,
0101NTO,Kwa Kanisa Ack/National Oil,-1.193291,36.777536, ,
0101NYG,Nyari Gate 2,-1.225544,36.791386, ,
0101NYP,Nyari Police,-1.225594,36.787764, ,
0101NYR,Nyari/Barrier 1,-1.226487,36.795583, ,
0101PMR,Pm Flats/ Runda View,-1.20429,36.77439, ,
0101PMV,Pm Flats/ Runda View 2,-1.20369,36.77218, ,
0101POW,Power,-1.217477,36.778214, ,
0101RCC,Ruaka Catholic Church,-1.2062,36.78055, ,
0101RCK,Ruaka Ack Church,-1.20676,36.78382, ,
0101RDC,Ruaka Dc,-1.2065,36.78171, ,
0101RED,Red Hill/Posta,-1.17081,36.708554, ,
0101REE,Runda Estate Entrance,-1.2186,36.80168, ,
0101REN,Redeemed Ndenderu,-1.19238,36.74504, ,
0101RIE,Limuru Diaries,-1.125841,36.642507, ,
0101RIH,Commissioner of Higher Education,-1.227861643,36.79806501,,
0101RJI,Ruiru Road Junction,-1.152135,36.91984, ,
0101RKJ,Ruaka Junction,-1.207176111,36.78586767,,
0101RMY,Rumenye,-1.19961,36.75794, ,
0101ROK,Rosslyn Road/Karura Community Chapel,-1.21649,36.79928, ,
0101ROR,Rosslyn Road/Riviera,-1.21721,36.80043, ,
0101RSH,Roslyn Heights,-1.223669,36.782832, ,
0101RUD,Runda Road,-1.215523,36.815038, ,
0101SDA,Sda Church,-1.223143,36.781961, ,
0101SHR,Shakers/Rosslyn Gate,-1.21115,36.79024, ,
0101SHT,Sacred Heart,-1.186283,36.767421, ,
0101SLT,Slaughter,-1.20523,36.77754, ,
0101STP,Stima Plaza,-1.27043,36.82048, ,
0101TIG,Tigoni,-1.126739,36.671944, ,
0101VRY,Victory,-1.181719,36.762391, ,
0101WBR,Wambugu Road,-1.26799,36.82127, ,
0101WID,Windsor Advice,-1.215566,36.850327, ,
0101ZAK,Zakawa,-1.179181,36.760914, ,
0102KHJ,Koja/Nation Centre,-1.281428,36.822532, ,0002KOJ
0103MSQ,Kwa Mosque/Highridge Mwisho,-1.25687,36.81077, ,
0110AGK,Aga Khan Academy,-1.26646,36.82324, ,
0110AIG,Gacharaini,-1.201715469,36.76474392,,
0110APS,Aga Khan Hospital Stage,-1.26198,36.8227, ,
0110APT,Aga Khan Hospital Stage 2,-1.26277,36.82467, ,
0110ASP,Stima Plaza,-1.269723236,36.82056069,,
0110AST,Ambassadors Stage,-1.19864,36.75634, ,
0110AUK,Karura,-1.24724865,36.81577563,,
0110BAA,Banana Terminus,-1.174235,36.758765, ,
0110BUK,Kabuku Junction Stage,-1.150767,36.668272, ,
0110CEJ,Gacharage Junction,-1.20033,36.76062,,
0110COH,Gacharage Junction - Gachiraini Stage,-1.200470924,36.76059455,,
0110DAS,Ridgeways Girls,-1.214993119,36.86438799,,
0110FRM,Muguku Farm,-1.17646,36.718384, ,
0110GGA,Ngara Stage,-1.274038553,36.823605,,
0110GTH,Gathanga Stage/Kiambea,-1.198999,36.78444, ,
0110KAU,Kianjogu Stage,-1.180979,36.727015, ,
0110KKB,Garage,-1.222414,36.780964, ,
0110KRS,Karura Stage,-1.19437,36.73198, ,
0110KSL,Nish Raaj Estate/Kusi Lane,-1.25864,36.81485, ,
0110MKT,Makutano,-1.159421,36.74364, ,
0110MTS,Muthaiga Shopping Centre,-1.25044,36.82058, ,
0110NGP,Ndenderu Redeemed Gospel,-1.19222,36.74442, ,
0110NGR,Ngara,-1.273936629,36.82355404,,
0110NKT,Nakumatt Stage,-1.26018,36.81855, ,
0110NSG,Ndenderu Stage,-1.1926,36.74685, ,
0110OLB,Blue Kiosk,-1.154766083,36.67294264,,
0110PBS,Bypass,-1.204483509,36.78551495,,
0110PMT,Pm Flats,-1.20375,36.77257, ,
0110R/B,Belgian Embassy/Karura,-1.247280836,36.81584269,,
0110REU,Rwenu,-1.194505692,36.73557758,,
0110RID,Windsor Advice,-1.215396165,36.85059071,,
0110RPS,Ruiru Prisons,-1.151888,36.92953, ,
0110SOI,Mimosa,-1.212091684,36.8047142,,
0110SPU,St. Paul's University Limuru,-1.147694,36.665794, ,
0110TAA,Stima Plaza,-1.269752383,36.82057947,,
0110TPA,3rd Parklands Avenue/ Aga Kan Hospital Junction,-1.26325,36.82498, ,
0110TVM,Traveller'S View Muchatha,-1.188491,36.771639, ,
0110UNA,UNEP/KTTC,-1.23781,36.80961, ,
0110VKS,2nd Parklands Avenue,-1.264834642,36.82441235,,
0110VMT,Village Market,-1.23006,36.80399, ,
0110WAM,Kwa Jeki,-1.194574,36.779445, ,
0111AIT,Muthaiga Mini Market,-1.250233166,36.82078838,,
0111AKS,Aga Khan Hospital Stage,-1.26237,36.82369, ,
0111AMB,Ambassadors Stage,-1.19859,36.75619, ,
0111ARA,Ngara Stage,-1.273995,36.823465, ,
0111BAA,Banana Terminus,-1.174015,36.75884, ,
0111BEK,Belgian Embassy/Karura,-1.24701,36.8156, ,
0111BPY,Bypass,-1.205770969,36.77934051,,
0111BUK,Kabuku Stage,-1.154742,36.674973, ,
0111FRM,Muguku Farm,-1.176554,36.718575, ,
0111GIM,Muthaiga Mini Market,-1.2501508,36.82074845,,
0111JEK,Kwa Njoki,-1.194099,36.778615, ,
0111KAU,Kianjogu Stage,-1.181209,36.727208, ,
0111KEA,Kiambea,-1.198614,36.784122, ,
0111KIO,Kiosk,-1.154731,36.675139, ,
0111KIV,Kibutu Stage,-1.188314,36.771234, ,
0111KNA,Kona,-1.220945,36.778584, ,
0111KRU,Karura/Runda,-1.22082,36.80136, ,
0111LON,Joyland,-1.204714179,36.77603871,,
0111MCM,Mirai Court/Mifereji,-1.20322,36.77046, ,
0111MKT,Makutano,-1.159354,36.743484, ,
0111MME,Muthaiga Mini Market,-1.250145435,36.820786,,
0111MRE,Muthaiga Mini Market,-1.25019908,36.82072967,,
0111NDS,Ndenderu Stage/Shell,-1.19303,36.74802, ,
0111NKM,Nakumatt/Post Office,-1.26012,36.81825, ,
0111NTA,Muthaiga Mini Market,-1.25023663,36.82071358,,
0111OLB,Oilibya,-1.26469,36.82432, ,
0111RHK,6th Parklands Avenue/Regal House/Kobil,-1.25777,36.82691, ,
0111RHR,Redhill Road,-1.23418,36.80341, ,
0111RNE,Rwenu,-1.193967312,36.74329042,,
0111ROT,Two Rivers,-1.213710308,36.79352403,,
0111RPS,Ruiru Prisons,-1.151827,36.929292, ,
0111RST,Ruaka Stage/Quickmart,-1.207146,36.785877, ,
0111SPS,Stima Plaza Stage,-1.2696,36.8204, ,
0111SPU,St. Paul's University Limuru,-1.148257,36.666204, ,
0111TUN,Un,-1.23867,36.81054, ,
0111VMA,Village Market,-1.22876,36.80443, ,
0112LKT,Koja,-1.28127,36.822572, ,0002KOJ
0112ODE,Odeon,-1.28303,36.82475, ,
0112POL,Junction/Poland Embassy,-1.234835,36.803782, ,
0113BAA,Banana Terminus,-1.17383,36.758605, ,
0113GCH,Gasolina/Gichagi Mwisho,-1.219641,36.766688, ,
0113KAR,Karura Mwisho,-1.19435,36.73204, ,
0113LMD,Limuru Terminus,-1.108043,36.643534, ,
0113RST,Ruaka Stage,-1.20717,36.78571, ,
0200AFY,Afya Health,-1.199847,36.900519, ,
0200BBC,Baba Ndogo Catho,-1.244459152,36.88500881, ,
0200BDJ,Baba Dogo Junction/dawa,-1.247161,36.874858, ,
0200BLN,Balkan Sec School,-1.21242,36.83392, ,
0200BUL,Bull And Bush,-1.217508,36.897464, ,
0200BWD,Brentwood Hotel/Paradise Lost,-1.20509,36.83242, ,
0200CAT,Catholic Church,-1.202488,36.89714, ,
0200CHF,Chiefs Office,-1.201788,36.897735, ,
0200CON,Riverside,-1.246304512,36.88011646, ,
0200CRN,Stimmer Corner,-1.224013,36.908204, ,
0200DBR,Nduberi Factory,-1.140917,36.805701, ,
0200DEC,Deliverance Church,-1.241361,36.894047, ,
0200DMD,Diamond Flats,-1.20399,36.83301, ,
0200EBR,Roundabout,-1.154988,36.926973, ,
0200EQY,Equity Gikomba,-1.28519,36.83802, ,
0200FHA,Faith Home Academ,-1.25305,36.878651, ,
0200FRS,St Francis,-1.226196,36.916057, ,
0200GAK,Gakena Supermarket,-1.201448,36.898317, ,
0200GIT,Githurai,-1.203692,36.917342, ,
0200GNK,Guru Nanak,-1.269278,36.832431, ,
0200GPS,Ngemwa Police Post,-1.121695,36.818793, ,
0200GRG,Kwa Garage,-1.231264,36.924453, ,
0200GTO,Githogoro/Kigwa,-1.21866,36.83586, ,
0200HML,Homeland In,-1.234187,36.874215, ,
0200HUN,Hunters,-1.227583,36.917981, ,
0200IIM,Kwa Mandizi,-1.190192699,36.89699292,,
0200JAC,Jacaranda,-1.19089,36.897377, ,
0200JAM,Jamaica,-1.089601,36.782309, ,
0200JIN,Ikinu,-1.100941,36.797296, ,
0200KAI,Kwa Kairu,-1.143339,36.966445, ,
0200KBM,Kariobangi Market Stage,-1.255259,36.878742, ,
0200KEN,Kenafric,-1.246862411,36.88436508, ,
0200KEP,Kenya Power,-1.24294,36.890941, ,
0200KJN,Kirigiti,-1.17895,36.83748, ,
0200KMT,Kamiti Road Junction,-1.182127,36.894298, ,
0200KOB,Servco Petrol Station/ Garage/Formula,-1.232031,36.92611, ,
0200KRE,Kware,-1.188737,36.931451, ,
0200KS2,Kist,-1.1835,36.83854, ,
0200KSC,Ksc Intenational / Junction,-1.240867,36.887725, ,
0200KTJ,Junction,-1.152403,36.919994, ,
0200KUF,Ku Fly Over,-1.180681,36.939082, ,
0200KWH,Kwaheri Flyover,-1.21568,36.8353, ,
0200MAT,Maternity,-1.223112,36.911889, ,
0200MBC,Membley Church,-1.159048,36.939119, ,
0200MET,Metro,-1.21784,36.899251, ,
0200MGN,2Nd Miguini,-1.218457,36.874002, ,
0200MNO,Makutano,-1.064306,36.783481, ,
0200MOS,Mosque Syd Ya Juu,-1.24068,36.89471, ,
0200MRR,Maruirui,-1.211112,36.874403, ,
0200MSH,Mushroom,-1.19579,36.83836, ,
0200MTE,Muthaiga Golf Club Entrance,-1.25774,36.84292, ,
0200MTI,Kamtini,-1.231538,36.924968, ,
0200MTM,Mirema Garden,-1.212847,36.893117, ,
0200NEH,Neighbours,-1.227277,36.870709, ,
0200NES,Corner,-1.217567,36.898027, ,
0200NYT,Nyati,-1.221369,36.872925, ,
0200OKB,Old Kiambu,-1.17334,36.82705, ,
0200RDS,Ridgeway Springs,-1.2292,36.84029, ,
0200RGC,Regional/ICIPE,-1.220023,36.894127, ,
0200RIL,Kona Kwa Rail,-1.208219,36.922329, ,
0200RKN,Kona,-1.225876,36.874215, ,
0200RND,Runda Junction,-1.22171,36.83606, ,
0200ROC,Rock City,-1.23795,36.84398, ,
0200RST,Roasters,-1.232715,36.873429, ,
0200RUK,Ruaraka,-1.214869,36.876151, ,
0200SHK,Shark'S Palace,-1.24067,36.84427, ,
0200SHL,Shell,-1.235088,36.873169, ,
0200SHP,Shell Petrol Station/catho church,-1.256525,36.878807, ,
0200SPH,Super High Way,-1.16417,36.955538, ,
0200STD,Stadium,-1.221498,36.88989, ,
0200STM,Steam,-1.222789,36.872219, ,
0200STR,5 Star Estate,-1.18981,36.83959, ,
0200TDS,Tides,-1.218752,36.902593, ,
0200TND,Thindigwa,-1.19987,36.83525, ,
0200TRT,Torrents,-1.158861,36.938758, ,
0200TSS,Tss Petrol Station/Blue Hut Hotel,-1.277,36.83091, ,
0200UTI,Mwalimu Motors,-1.269763112,36.83115542,,
0200WJY,Wonderjoy,-1.23132,36.84252, ,
0201AGH,Agha Khan Hospital,-1.268924,36.809952, ,
0201AIP,Aipcea,-1.11975,36.819057, ,
0201AIS,Aic Lucky Summer,-1.240432,36.895398, ,
0201ALP,Alsops,-1.245356,36.867652, ,
0201ALS,Allsops,-1.244367,36.86667, ,
0201ASP,All Sops,-1.245284,36.866941, ,
0201BAS,Base,-1.206747,36.894434, ,
0201BBP,Kemref,-1.244416237,36.88616753, ,
0201BHC,Beta Health Care,-1.059903,36.782865, ,
0201BLC,Post,-1.246733665,36.8832922, ,
0201BLE,Riverside,-1.246476173,36.87985897, ,
0201BPC,The Baptist Chapel,-1.241702,36.893618, ,
0201BRA,Barua,-1.19333,36.83991, ,
0201CAL,Caltexdn/Equity,-1.268018,36.833628, ,
0201CAR,Car Wash/Tanasi ya Chini,-1.201003,36.898857, ,
0201CLY,Clay Works,-1.172752,36.9454, ,
0201CON,Corner,-1.247377396,36.87475204, ,
0201DAW,Dawa Pharmacutical,-1.247043,36.873225, ,
0201DBR,Ndumberi Factory,-1.140974,36.805712, ,
0201DNK,Danamac's Flats,-1.21821,36.900913, ,
0201EBR,Roundabout,-1.15486,36.926145, ,
0201EQT,Equity,-1.217701,36.898982, ,
0201EVR,Evergreen,-1.2106,36.83313, ,
0201FIG,Fig Tree,-1.275505,36.822854, ,
0201GIG,Githurai,-1.202923,36.91753, ,
0201GIT,Githurai,-1.203684,36.916758, ,
0201GRD,Grand Point,-1.217937,36.899857, ,
0201GRG,Garage,-1.231222,36.924549, ,
0201GSP,Canopy/Gospel Church,-1.208688,36.893951, ,
0201GTC,Gathecha,-1.240786,36.887714, ,
0201GTJ,Gathanji,-1.089753,36.782261, ,
0201GTO,Githogoro,-1.2186,36.83579, ,
0201HML,Roasters/Naivas,-1.233086586,36.87402785, ,
0201HSM,House Of Faith Ministry,-1.240245,36.895997, ,
0201IKN,Ikinu,-1.099779,36.795763, ,
0201JAC,Jacaranda,-1.192145,36.898695, ,
0201JAM,Jamaica,-1.074147,36.781376, ,
0201JNT,Kwa Junction,-1.043316,37.070831, ,
0201KAI,Kwa Kairu,-1.142084,36.966911, ,
0201KAM,Kamindi Supermarket,-1.17171,36.82808, ,
0201KAR,Karura,-1.182127,36.894275, ,
0201KBM,Kariobangi Market Stage/Soko,-1.255538,36.878823, ,
0201KBO,Kimbo,-1.132586,36.974481, ,
0201KCB,Kcb Kiambu,-1.17284,36.83002, ,
0201KCL,K1 Club,-1.268125,36.811299, ,
0201KEP,Kenya Power,-1.242862,36.89084, ,
0201KFS,Kenya Forestry Service Station/Kfs Karura Gate,-1.25025,36.84633, ,
0201KGM,Kiangima,-1.075928,36.786734, ,
0201KIH,Kihunguro,-1.163948,36.957125,,
0201KJN,Kirigiti Junction,-1.17902,36.83742, ,
0201KMT,Kamtini,-1.229538,36.920874, ,
0201KNL,Kenol Petro Station,-1.183113,36.899833, ,
0201KRE,Kware,-1.188445,36.931008, ,
0201KRK,Kariokor,-1.279431,36.833293, ,
0201KS2,Kist,-1.18345,36.83848, ,
0201KSR,Kasarini,-1.20585,36.83201, ,
0201KSS,Kasarini Stage,-1.20461,36.83264, ,
0201KTJ,Junction,-1.151919,36.919517, ,
0201KWH,Kwaheri Flyover,-1.21506,36.83495, ,
0201LSM,Leesta Supermarket,-1.200093,36.900066, ,
0201MBC,Membley Church,-1.158563,36.937352, ,
0201MET,Corner,-1.217444,36.89776, ,
0201MGN,2Nd Miguini,-1.218296,36.873967, ,
0201MHG,Mahiga Prima,-1.182534,36.896914, ,
0201MJM,Maji Mazuri,-1.232995391,36.92855179, ,
0201MLM,Kwa Mlima,-1.233215332,36.92902386, ,
0201MNO,Makutano,-1.064754,36.783189, ,
0201MOS,Mosque,-1.24057,36.894865, ,
0201MRT,Maternity,-1.223037,36.91183, ,
0201MSH,Mushroom,-1.19582,36.83822, ,
0201MSQ,Mosque,-1.252661,36.865157, ,
0201NAS,Naivas,-1.218873,36.895474, ,
0201NEH,Neighbours,-1.226942,36.871015, ,
0201NTR,Nakumatt Ridgeways,-1.22525,36.83883, ,
0201NYT,Nyati,-1.220956,36.873096, ,
0201PGF,Fly Over Pangani,-1.26701,36.834376, ,
0201PNG,Pangani,-1.266785,36.834315, ,
0201POS,Police Post,-1.121249,36.819359, ,
0201PPS,Police Post,-1.219857,36.894257, ,
0201PTR,Jomoko,-1.05038,37.057783, ,
0201RDS,Ridgeway Springs,-1.22924,36.84025, ,
0201RET,St Margret,-1.207715,36.924788, ,
0201RGC,Regional Centre,-1.22072,36.892773, ,
0201RIL,Kona Kwa Rail,-1.208181,36.922337, ,
0201RKN,Kona,-1.225183,36.873912, ,
0201RND,Runda Junction,-1.22181,36.8361, ,
0201ROC,Rock City,-1.2382,36.84398, ,
0201RSB,Roysabu,-1.218471,36.89246, ,
0201RST,Roasters,-1.233597,36.872552, ,
0201RUA,Samaki,-1.246218681,36.87655449, ,
0201RUK,Ruaraka,-1.214531,36.876177, ,
0201RYS,Roysambu,-1.218631,36.890574, ,
0201RZA,Riziki Academy,-1.28067,36.838466, ,
0201SDP,Starehe Divisional Police Station,-1.27023,36.83564, ,
0201SHL,Shell,-1.234871,36.873397, ,
0201SHP,Shell Petrol Station/catholic church,-1.256536,36.878871, ,
0201SKL,Sikiliza,-1.187897,36.895412, ,
0201SPH,Super High Way,-1.164449,36.955839, ,
0201SSN,Seasons,-1.218747,36.90285, ,
0201STM,Steam,-1.22293,36.872273, ,
0201SUN,Sunton,-1.228819,36.919796, ,
0201SUP,Mirema,-1.212885,36.893063, ,
0201TJA,Timba Junior Academy,-1.241243,36.894187, ,
0201TKS,Tuskeys,-1.041316,37.071367, ,
0201WJY,Wanderjoy,-1.23113,36.84225, ,
0201WST,West Plaza,-1.182706,36.897987, ,
0202LUT,Luthuli Avenue,-1.284831,36.826986, ,
0202RSB,Roysambu Terminus,-1.218232,36.891038, ,
0203SND,Sunton,-1.228822,36.919711, ,
0210ABI,Tiba,-1.240081787,36.89640284,,
0210ALP,All Sops,-1.245421,36.867681, ,
0210ALS,Allsops,-1.245918,36.8666807, ,
0210BBD,Baba Ndogo,-1.244305,36.887506, ,
0210BBG,Terminal,-1.244302,36.887401, ,
0210BUL,Bull,-1.217492,36.897673, ,
0210BYP,By Pass,-1.167324,36.955388, ,
0210CAH,Pangani Girls/ Chai Road,-1.26973629,36.83837056,,
0210CID,Cid,-1.25032,36.84657, ,
0210CLM,Clay,-1.171357,36.948865, ,
0210CLY,Clay Works,-1.172108,36.947546, ,
0210CON,Consolata,-1.190834,36.897263, ,
0210DBR,Ndumberi,-1.15149,36.805479, ,
0210DRV,Drive In,-1.248201,36.863979, ,
0210EDE,Eden Supermarket,-1.201649,36.898004, ,
0210EOS,Seasons,-1.218774319,36.90265775,,
0210FIG,Fig Tree,-1.275607,36.823317, ,
0210FLY,Fly Over,-1.15055083,36.96215482, ,
0210FNO,Gorofani,-1.224471331,36.91386402,,
0210GAO,Mlango Kubwa,-1.26747787,36.84358478,,
0210GAS,Home Depot,-1.20562,36.895016, ,
0210GIT,Gihurai,-1.204336,36.916825, ,
0210GRG,Garage Stage,-1.279238,36.849785, ,
0210HGU,Kihunguro,-1.155023575,36.96036816,,
0210HIP,Highpoint,-1.095165,37.028978, ,
0210HUN,Hunters Stage,-1.227159,36.917404, ,
0210IKE,KIE/Pioneer,-1.271823049,36.82784557,,
0210INA,Pangani Police Post,-1.27019763,36.8357259,,
0210JKT,Jkuat,-1.106981,37.015873, ,
0210JUN,Junction,-1.189464,36.896528, ,
0210KAD,Kwa Ahindi,-1.174055,36.828014, ,
0210KAH,Kahawa,-1.200083,36.920391, ,
0210KAR,Kariokor,-1.27927,36.833639, ,
0210KBM,Kariobangi Market Stage,-1.255533,36.878748, ,
0210KBO,Kimbo,-1.13317,36.974441, ,
0210KCA,KCA,-1.251848,36.860455, ,
0210KDO,Kwa Do/Kiambu-Limuru Road Junction/Red Nova,-1.17498,36.83448, ,
0210KNJ,Koja,-1.281093,36.82277, ,
0210KPO,Kiambuu Posta,-1.166765,36.825138, ,
0210KRB,Karambe,-1.266850233,36.84567153,,
0210KRE,Kware,-1.191558,36.928653, ,
0210KRK,Kariokor,-1.279297,36.833566, ,
0210KUM,KU,-1.181132,36.938669, ,
0210KWD,Kwa Dogi,-1.15693,36.932686, ,
0210LXE,Lex,-1.246948242,36.87067509,,
0210MAZ,Maziwa,-1.183176041,36.89998627, ,
0210MBL,Membley,-1.156222,36.930358, ,
